Region,Year,League,Wins,Losses,Playoffs
Region_2,2006,League_2,46,31,False
Region_2,2006,League_3,34,98,False
Region_2,2006,League_4,77,14,False
Region_2,2007,League_1,80,99,False
Region_2,2007,League_2,35,84,True
Region_2,2007,League_3,49,69,False
Region_2,2007,League_4,3,64,True
Region_2,2008,League_1,1,3,False
Region_2,2008,League_2,5,10,False
Region_2,2008,League_3,53,25,False
Region_2,2008,League_4,3,60,False
Region_2,2009,League_1,53,36,True
Region_2,2009,League_2,92,22,True
Region_2,2009,League_3,62,92,True
Region_2,2009,League_4,17,84,True
Region_3,2000,League_1,89,90,False
Region_3,2000,League_2,43,39,True
Region_3,2000,League_3,33,76,True
Region_3,2000,League_4,73,22,False
Region_3,2001,League_1,61,15,True
Region_3,2001,League_2,99,93,True
Region_3,2001,League_3,13,60,True
Region_3,2001,League_4,94,67,True
Region_3,2002,League_1,47,79,False
Region_3,2002,League_2,14,30,False
Region_3,2002,League_3,71,52,True
Region_3,2002,League_4,77,24,False
Region_3,2003,League_1,86,43,True
Region_3,2003,League_2,61,11,True
Region_3,2003,League_3,39,89,True
Region_3,2003,League_4,84,96,False
Region_3,2004,League_1,79,91,False
Region_3,2004,League_2,81,8,False
Region_3,2004,League_3,52,11,False
Region_3,2004,League_4,23,68,False
Region_3,2005,League_1,25,53,False
Region_3,2005,League_2,88,53,True
Region_3,2005,League_3,59,27,False
Region_3,2005,League_4,40,55,True
Region_3,2006,League_1,28,98,True
Region_3,2006,League_2,14,68,False
Region_3,2006,League_3,44,97,True
Region_3,2006,League_4,64,97,True
Region_3,2007,League_1,88,76,True
Region_3,2007,League_2,70,57,False
Region_3,2007,League_3,8,77,False
Region_3,2007,League_4,87,74,True
Region_3,2008,League_1,0,41,False
Region_3,2008,League_2,7,37,True
Region_3,2008,League_3,87,67,False
Region_3,2008,League_4,62,52,True
Region_3,2009,League_1,10,32,True
Region_3,2009,League_2,80,70,False
Region_3,2009,League_3,7,55,False
Region_3,2009,League_4,34,71,False
Region_4,2000,League_1,34,50,False
Region_4,2000,League_2,32,73,False
Region_4,2000,League_3,4,42,True
Region_4,2000,League_4,40,14,True
Region_4,2001,League_1,27,37,True
Region_4,2001,League_2,6,14,False
Region_4,2001,League_3,72,4,False
Region_4,2001,League_4,71,92,True
Region_4,2002,League_1,11,82,True
Region_4,2002,League_2,33,53,True
Region_4,2002,League_3,32,50,True
Region_4,2002,League_4,47,9,False
Region_4,2003,League_1,22,11,True
Region_4,2003,League_2,61,3,False
Region_4,2003,League_3,87,94,True
Region_4,2003,League_4,36,17,False
Region_4,2004,League_1,98,79,False
Region_4,2004,League_2,43,35,False
Region_4,2004,League_3,85,24,False
Region_4,2004,League_4,90,86,True
Region_4,2005,League_1,34,75,True
Region_4,2005,League_2,64,97,True
Region_4,2005,League_3,98,35,False
Region_4,2005,League_4,46,66,True
Region_4,2006,League_1,77,8,True
Region_4,2006,League_2,2,60,True
Region_4,2006,League_3,0,52,False
Region_4,2006,League_4,4,17,False
Region_4,2007,League_1,89,42,False
Region_4,2007,League_2,13,34,True
Region_4,2007,League_3,26,62,True
Region_4,2007,League_4,8,97,True
Region_4,2008,League_1,78,77,False
Region_4,2008,League_2,14,3,True
Region_4,2008,League_3,89,92,False
Region_4,2008,League_4,41,40,False
Region_4,2009,League_1,76,44,False
Region_4,2009,League_2,50,49,False
Region_4,2009,League_3,62,78,True
Region_4,2009,League_4,95,27,True
Region_5,2000,League_1,51,41,False
Region_5,2000,League_2,95,79,True
Region_5,2000,League_3,3,75,False
Region_5,2000,League_4,93,68,True
Region_5,2001,League_1,22,97,True
Region_5,2001,League_2,14,0,False
Region_5,2001,League_3,42,38,False
Region_5,2001,League_4,28,95,False
Region_5,2002,League_1,35,89,False
Region_5,2002,League_2,12,16,True
Region_5,2002,League_3,31,90,False
Region_5,2002,League_4,70,87,True
Region_5,2003,League_1,58,34,False
Region_5,2003,League_2,85,45,True
Region_5,2003,League_3,27,41,False
Region_5,2003,League_4,65,38,True
Region_5,2004,League_1,41,89,True
Region_5,2004,League_2,44,48,True
Region_5,2004,League_3,61,61,False
Region_5,2004,League_4,56,37,False
Region_5,2005,League_1,5,22,False
Region_5,2005,League_2,27,21,False
Region_5,2005,League_3,27,3,True
Region_5,2005,League_4,43,48,True
Region_5,2006,League_1,83,58,True
Region_5,2006,League_2,29,72,False
Region_5,2006,League_3,61,67,True
Region_5,2006,League_4,74,70,True
Region_5,2007,League_1,91,86,False
Region_5,2007,League_2,88,1,False
Region_5,2007,League_3,61,48,True
Region_5,2007,League_4,96,87,False
Region_5,2008,League_1,0,94,False
Region_5,2008,League_2,26,30,False
Region_5,2008,League_3,61,39,False
Region_5,2008,League_4,76,47,True
Region_5,2009,League_1,2,50,True
Region_5,2009,League_2,69,42,True
Region_5,2009,League_3,71,97,True
Region_5,2009,League_4,26,54,True
Region_6,2000,League_1,8,87,False
Region_6,2000,League_2,61,48,True
Region_6,2000,League_3,36,89,True
Region_6,2000,League_4,96,79,False
Region_6,2001,League_1,50,56,False
Region_6,2001,League_2,43,76,False
Region_6,2001,League_3,23,14,True
Region_6,2001,League_4,78,26,False
Region_6,2002,League_1,58,67,False
Region_6,2002,League_2,31,79,False
Region_6,2002,League_3,95,63,True
Region_6,2002,League_4,87,93,False
Region_6,2003,League_1,51,29,False
Region_6,2003,League_2,61,35,True
Region_6,2003,League_3,57,66,False
Region_6,2003,League_4,51,85,True
Region_6,2004,League_1,11,85,True
Region_6,2004,League_2,38,48,False
Region_6,2004,League_3,1,75,True
Region_6,2004,League_4,2,54,False
Region_6,2005,League_1,55,84,False
Region_6,2005,League_2,80,55,False
Region_6,2005,League_3,58,67,False
Region_6,2005,League_4,1,94,True
Region_6,2006,League_1,1,43,False
Region_6,2006,League_2,91,30,False
Region_6,2006,League_3,53,57,False
Region_6,2006,League_4,86,86,True
Region_6,2007,League_1,95,52,True
Region_6,2007,League_2,96,83,False
Region_6,2007,League_3,0,78,True
Region_6,2007,League_4,18,22,True
Region_6,2008,League_1,1,27,False
Region_6,2008,League_2,52,15,False
Region_6,2008,League_3,43,36,False
Region_6,2008,League_4,89,20,False
Region_6,2009,League_1,31,78,False
Region_6,2009,League_2,69,16,True
Region_6,2009,League_3,31,36,False
Region_6,2009,League_4,67,76,False
Region_7,2000,League_1,54,18,False
Region_7,2000,League_2,74,29,False
Region_7,2000,League_3,55,44,False
Region_7,2000,League_4,16,17,True
Region_7,2001,League_1,37,77,False
Region_7,2001,League_2,23,61,True
Region_7,2001,League_3,68,35,False
Region_7,2001,League_4,97,99,False
Region_7,2002,League_1,69,83,False
Region_7,2002,League_2,85,51,True
Region_7,2002,League_3,10,18,False
Region_7,2002,League_4,15,43,False
Region_7,2003,League_1,96,6,False
Region_7,2003,League_2,72,43,False
Region_7,2003,League_3,58,67,False
Region_7,2003,League_4,69,33,False
Region_7,2004,League_1,79,65,False
Region_7,2004,League_2,92,68,True
Region_7,2004,League_3,2,54,False
Region_7,2004,League_4,19,9,False
Region_7,2005,League_1,58,95,False
Region_7,2005,League_2,35,41,True
Region_7,2005,League_3,18,40,True
Region_7,2005,League_4,89,76,False
Region_7,2006,League_1,66,68,True
Region_7,2006,League_2,18,9,False
Region_7,2006,League_3,19,9,False
Region_7,2006,League_4,95,90,True
Region_7,2007,League_1,70,59,False
Region_7,2007,League_2,51,50,True
Region_7,2007,League_3,32,20,True
Region_7,2007,League_4,39,7,True
Region_7,2008,League_1,38,64,False
Region_7,2008,League_2,81,91,False
Region_7,2008,League_3,0,77,False
Region_7,2008,League_4,10,84,False
Region_7,2009,League_1,91,29,False
Region_7,2009,League_2,56,84,False
Region_7,2009,League_3,88,48,False
Region_7,2009,League_4,49,8,True
Region_8,2000,League_1,22,16,False
Region_8,2000,League_2,30,68,False
Region_8,2000,League_3,93,57,False
Region_8,2000,League_4,41,56,True
Region_8,2001,League_1,98,61,True
Region_8,2001,League_2,6,94,True
Region_8,2001,League_3,15,51,False
Region_8,2001,League_4,89,60,True
Region_8,2002,League_1,59,39,True
Region_8,2002,League_2,1,37,False
Region_8,2002,League_3,0,42,False
Region_8,2002,League_4,47,62,False
Region_8,2003,League_1,11,18,True
Region_8,2003,League_2,68,99,False
Region_8,2003,League_3,36,49,False
Region_8,2003,League_4,31,32,False
Region_8,2004,League_1,8,12,False
Region_8,2004,League_2,98,77,False
Region_8,2004,League_3,18,96,False
Region_8,2004,League_4,47,61,True
Region_8,2005,League_1,79,92,False
Region_8,2005,League_2,2,42,True
Region_8,2005,League_3,19,48,True
Region_8,2005,League_4,23,35,False
Region_8,2006,League_1,53,9,True
Region_8,2006,League_2,32,94,True
Region_8,2006,League_3,23,5,True
Region_8,2006,League_4,74,56,False
Region_8,2007,League_1,71,0,True
Region_8,2007,League_2,35,70,True
Region_8,2007,League_3,37,57,True
Region_8,2007,League_4,83,90,True
Region_8,2008,League_1,98,20,False
Region_8,2008,League_2,88,91,False
Region_8,2008,League_3,98,79,True
Region_8,2008,League_4,24,55,False
Region_8,2009,League_1,92,86,False
Region_8,2009,League_2,17,19,True
Region_8,2009,League_3,81,53,False
Region_8,2009,League_4,65,24,False
Region_9,2000,League_1,53,27,True
Region_9,2000,League_2,34,4,True
Region_9,2000,League_3,79,20,False
Region_9,2000,League_4,60,17,False
Region_9,2001,League_1,40,46,False
Region_9,2001,League_2,99,69,False
Region_9,2001,League_3,32,56,True
Region_9,2001,League_4,67,92,True
Region_9,2002,League_1,32,18,True
Region_9,2002,League_2,13,96,True
Region_9,2002,League_3,20,64,True
Region_9,2002,League_4,47,2,False
Region_9,2003,League_1,19,41,False
Region_9,2003,League_2,7,20,True
Region_9,2003,League_3,6,98,True
Region_9,2003,League_4,66,39,True
Region_9,2004,League_1,16,66,False
Region_9,2004,League_2,32,24,False
Region_9,2004,League_3,47,54,False
Region_9,2004,League_4,75,83,True
Region_9,2005,League_1,58,51,True
Region_9,2005,League_2,85,43,True
Region_9,2005,League_3,21,97,True
Region_9,2005,League_4,29,84,True
Region_9,2006,League_1,37,55,False
Region_9,2006,League_2,50,54,True
Region_9,2006,League_3,53,86,False
Region_9,2006,League_4,7,69,False
Region_9,2007,League_1,26,76,False
Region_9,2007,League_2,26,86,False
Region_9,2007,League_3,97,72,False
Region_9,2007,League_4,20,80,True
Region_9,2008,League_1,29,65,True
Region_9,2008,League_2,96,18,True
Region_9,2008,League_3,27,82,False
Region_9,2008,League_4,63,6,False
Region_9,2009,League_1,96,62,False
Region_9,2009,League_2,68,41,False
Region_9,2009,League_3,60,41,False
Region_9,2009,League_4,47,58,False
Region_10,2000,League_1,18,19,True
Region_10,2000,League_2,3,72,False
Region_10,2000,League_3,34,16,False
Region_10,2000,League_4,63,26,True
Region_10,2001,League_1,48,46,False
Region_10,2001,League_2,16,1,True
Region_10,2001,League_3,43,62,True
Region_10,2001,League_4,91,61,True
Region_10,2002,League_1,29,99,False
Region_10,2002,League_2,92,18,True
Region_10,2002,League_3,45,16,True
Region_10,2002,League_4,5,68,False
Region_10,2003,League_1,98,38,True
Region_10,2003,League_2,36,81,False
Region_10,2003,League_3,23,70,False
Region_10,2003,League_4,92,80,True
Region_10,2004,League_1,45,38,False
Region_10,2004,League_2,52,35,False
Region_10,2004,League_3,94,39,True
Region_10,2004,League_4,98,44,True
Region_10,2005,League_1,59,3,True
Region_10,2005,League_2,96,24,True
Region_10,2005,League_3,62,68,False
Region_10,2005,League_4,84,29,True
Region_10,2006,League_1,31,75,True
Region_10,2006,League_2,86,67,True
Region_10,2006,League_3,32,87,False
Region_10,2006,League_4,66,28,False
Region_10,2007,League_1,17,72,False
Region_10,2007,League_2,24,67,False
Region_10,2007,League_3,94,50,False
Region_10,2007,League_4,53,23,True
Region_10,2008,League_1,57,13,False
Region_10,2008,League_2,66,68,False
Region_10,2008,League_3,45,17,False
Region_10,2008,League_4,23,41,True
Region_10,2009,League_1,31,56,True
Region_10,2009,League_2,46,82,False
Region_10,2009,League_3,85,11,True
Region_10,2009,League_4,22,81,False
Region_11,2000,League_1,65,16,True
Region_11,2000,League_2,26,29,True
Region_11,2000,League_3,1,87,False
Region_11,2000,League_4,89,74,True
Region_11,2001,League_1,16,98,False
Region_11,2001,League_2,32,22,False
Region_11,2001,League_3,8,80,False
Region_11,2001,League_4,42,0,True
Region_11,2002,League_1,47,78,True
Region_11,2002,League_2,38,31,False
Region_11,2002,League_3,92,8,False
Region_11,2002,League_4,41,14,True
Region_11,2003,League_1,25,27,False
Region_11,2003,League_2,98,23,True
Region_11,2003,League_3,49,59,True
Region_11,2003,League_4,24,34,True
Region_11,2004,League_1,23,85,False
Region_11,2004,League_2,12,26,False
Region_11,2004,League_3,59,82,True
Region_11,2004,League_4,6,75,False
Region_11,2005,League_1,56,19,False
Region_11,2005,League_2,35,64,True
Region_11,2005,League_3,44,84,True
Region_11,2005,League_4,19,48,False
Region_11,2006,League_1,64,0,True
Region_11,2006,League_2,7,9,False
Region_11,2006,League_3,15,46,True
Region_11,2006,League_4,13,58,True
Region_11,2007,League_1,75,95,False
Region_11,2007,League_2,86,61,False
Region_11,2007,League_3,14,85,False
Region_11,2007,League_4,91,17,False
Region_11,2008,League_1,97,45,False
Region_11,2008,League_2,65,31,True
Region_11,2008,League_3,31,26,True
Region_11,2008,League_4,86,91,False
Region_11,2009,League_1,62,17,True
Region_11,2009,League_2,85,38,False
Region_11,2009,League_3,50,48,True
Region_11,2009,League_4,24,92,True
Region_12,2000,League_1,57,81,False
Region_12,2000,League_2,62,43,False
Region_12,2000,League_3,61,71,False
Region_12,2000,League_4,21,53,True
Region_12,2001,League_1,57,94,False
Region_12,2001,League_2,57,33,False
Region_12,2001,League_3,85,70,False
Region_12,2001,League_4,48,35,False
Region_12,2002,League_1,51,17,False
Region_12,2002,League_2,41,37,False
Region_12,2002,League_3,69,58,True
Region_12,2002,League_4,14,8,True
Region_12,2003,League_1,53,72,True
Region_12,2003,League_2,59,71,True
Region_12,2003,League_3,96,50,False
Region_12,2003,League_4,7,34,False
Region_12,2004,League_1,52,81,True
Region_12,2004,League_2,59,4,True
Region_12,2004,League_3,4,13,True
Region_12,2004,League_4,67,91,False
Region_12,2005,League_1,5,29,False
Region_12,2005,League_2,95,3,False
Region_12,2005,League_3,93,38,True
Region_12,2005,League_4,46,83,True
Region_12,2006,League_1,98,63,True
Region_12,2006,League_2,54,24,True
Region_12,2006,League_3,39,27,True
Region_12,2006,League_4,51,75,False
Region_12,2007,League_1,15,65,False
Region_12,2007,League_2,12,77,False
Region_12,2007,League_3,29,21,False
Region_12,2007,League_4,18,30,False
Region_12,2008,League_1,16,22,True
Region_12,2008,League_2,62,47,False
Region_12,2008,League_3,18,19,True
Region_12,2008,League_4,91,37,False
Region_12,2009,League_1,57,54,True
Region_12,2009,League_2,54,67,True
Region_12,2009,League_3,89,78,True
Region_12,2009,League_4,89,87,True
Region_13,2000,League_1,61,88,True
Region_13,2000,League_2,22,0,True
Region_13,2000,League_3,8,6,False
Region_13,2000,League_4,11,56,True
Region_13,2001,League_1,0,94,True
Region_13,2001,League_2,57,11,False
Region_13,2001,League_3,0,4,True
Region_13,2001,League_4,33,49,False
Region_13,2002,League_1,95,41,False
Region_13,2002,League_2,47,11,True
Region_13,2002,League_3,88,17,True
Region_13,2002,League_4,0,65,False
Region_13,2003,League_1,15,73,True
Region_13,2003,League_2,60,78,False
Region_13,2003,League_3,63,93,True
Region_13,2003,League_4,62,16,False
Region_13,2004,League_1,68,67,True
Region_13,2004,League_2,21,70,True
Region_13,2004,League_3,92,61,False
Region_13,2004,League_4,66,40,False
Region_13,2005,League_1,75,94,False
Region_13,2005,League_2,25,33,False
Region_13,2005,League_3,15,69,True
Region_13,2005,League_4,50,44,False
Region_13,2006,League_1,85,57,False
Region_13,2006,League_2,56,50,True
Region_13,2006,League_3,28,33,True
Region_13,2006,League_4,77,43,False
Region_13,2007,League_1,91,14,True
Region_13,2007,League_2,68,77,False
Region_13,2007,League_3,46,69,True
Region_13,2007,League_4,93,49,False
Region_13,2008,League_1,61,31,True
Region_13,2008,League_2,68,66,False
Region_13,2008,League_3,75,2,False
Region_13,2008,League_4,15,85,True
Region_13,2009,League_1,89,85,True
Region_13,2009,League_2,89,73,False
Region_13,2009,League_3,47,50,False
Region_13,2009,League_4,84,66,True
Region_14,2000,League_1,38,75,True
Region_14,2000,League_2,99,92,True
Region_14,2000,League_3,32,47,True
Region_14,2000,League_4,93,16,True
Region_14,2001,League_1,22,6,True
Region_14,2001,League_2,9,12,True
Region_14,2001,League_3,68,65,True
Region_14,2001,League_4,99,3,True
Region_14,2002,League_1,33,9,False
Region_14,2002,League_2,51,87,True
Region_14,2002,League_3,94,16,True
Region_14,2002,League_4,9,51,False
Region_14,2003,League_1,18,5,False
Region_14,2003,League_2,57,82,False
Region_14,2003,League_3,95,68,False
Region_14,2003,League_4,0,95,False
Region_14,2004,League_1,68,73,False
Region_14,2004,League_2,3,8,True
Region_14,2004,League_3,15,90,False
Region_14,2004,League_4,23,76,False
Region_14,2005,League_1,79,82,False
Region_14,2005,League_2,1,20,True
Region_14,2005,League_3,91,23,False
Region_14,2005,League_4,31,3,True
Region_14,2006,League_1,90,23,False
Region_14,2006,League_2,83,58,False
Region_14,2006,League_3,23,98,True
Region_14,2006,League_4,11,2,True
Region_14,2007,League_1,49,67,False
Region_14,2007,League_2,34,39,True
Region_14,2007,League_3,32,47,True
Region_14,2007,League_4,32,53,False
Region_14,2008,League_1,60,34,False
Region_14,2008,League_2,50,94,False
Region_14,2008,League_3,42,55,True
Region_14,2008,League_4,11,88,False
Region_14,2009,League_1,66,39,False
Region_14,2009,League_2,64,76,True
Region_14,2009,League_3,32,67,True
Region_14,2009,League_4,39,45,False
Region_15,2000,League_1,73,77,True
Region_15,2000,League_2,42,12,False
Region_15,2000,League_3,43,26,True
Region_15,2000,League_4,28,5,False
Region_15,2001,League_1,12,16,True
Region_15,2001,League_2,11,35,True
Region_15,2001,League_3,94,98,True
Region_15,2001,League_4,45,80,True
Region_15,2002,League_1,1,1,False
Region_15,2002,League_2,34,76,True
Region_15,2002,League_3,86,51,False
Region_15,2002,League_4,80,65,True
Region_15,2003,League_1,89,51,True
Region_15,2003,League_2,7,91,False
Region_15,2003,League_3,92,42,True
Region_15,2003,League_4,25,89,True
Region_15,2004,League_1,73,21,False
Region_15,2004,League_2,89,54,True
Region_15,2004,League_3,33,66,False
Region_15,2004,League_4,6,98,True
Region_15,2005,League_1,67,59,True
Region_15,2005,League_2,57,57,True
Region_15,2005,League_3,74,11,False
Region_15,2005,League_4,28,87,True
Region_15,2006,League_1,35,68,True
Region_15,2006,League_2,88,83,True
Region_15,2006,League_3,20,38,True
Region_15,2006,League_4,35,12,True
Region_15,2007,League_1,9,40,True
Region_15,2007,League_2,72,56,True
Region_15,2007,League_3,23,52,True
Region_15,2007,League_4,63,11,True
Region_15,2008,League_1,98,12,False
Region_15,2008,League_2,48,73,True
Region_15,2008,League_3,98,96,False
Region_15,2008,League_4,35,56,False
Region_15,2009,League_1,81,39,False
Region_15,2009,League_2,95,79,True
Region_15,2009,League_3,23,44,False
Region_15,2009,League_4,22,34,False
Region_16,2000,League_1,61,2,False
Region_16,2000,League_2,95,4,True
Region_16,2000,League_3,36,89,False
Region_16,2000,League_4,11,10,True
Region_16,2001,League_1,54,70,False
Region_16,2001,League_2,12,55,False
Region_16,2001,League_3,22,9,True
Region_16,2001,League_4,88,33,True
Region_16,2002,League_1,98,66,False
Region_16,2002,League_2,29,71,False
Region_16,2002,League_3,16,30,False
Region_16,2002,League_4,61,74,True
Region_16,2003,League_1,83,70,True
Region_16,2003,League_2,88,65,False
Region_16,2003,League_3,85,69,False
Region_16,2003,League_4,12,40,True
Region_16,2004,League_1,58,62,True
Region_16,2004,League_2,18,31,False
Region_16,2004,League_3,48,19,True
Region_16,2004,League_4,99,56,False
Region_16,2005,League_1,11,97,True
Region_16,2005,League_2,60,49,False
Region_16,2005,League_3,18,79,False
Region_16,2005,League_4,75,24,False
Region_16,2006,League_1,8,11,True
Region_16,2006,League_2,70,70,False
Region_16,2006,League_3,27,38,False
Region_16,2006,League_4,77,16,True
Region_16,2007,League_1,94,44,False
Region_16,2007,League_2,51,10,False
Region_16,2007,League_3,82,69,False
Region_16,2007,League_4,15,22,True
Region_16,2008,League_1,68,90,True
Region_16,2008,League_2,98,69,True
Region_16,2008,League_3,11,37,True
Region_16,2008,League_4,24,1,False
Region_16,2009,League_1,51,85,True
Region_16,2009,League_2,84,83,True
Region_16,2009,League_3,99,88,True
Region_16,2009,League_4,52,78,False
Region_17,2000,League_1,22,92,False
Region_17,2000,League_2,15,71,False
Region_17,2000,League_3,56,36,True
Region_17,2000,League_4,38,48,False
Region_17,2001,League_1,52,51,False
Region_17,2001,League_2,41,32,True
Region_17,2001,League_3,57,21,False
Region_17,2001,League_4,38,4,True
Region_17,2002,League_1,13,17,True
Region_17,2002,League_2,94,37,False
Region_17,2002,League_3,4,36,True
Region_17,2002,League_4,34,93,True
Region_17,2003,League_1,86,94,True
Region_17,2003,League_2,92,63,True
Region_17,2003,League_3,74,9,True
Region_17,2003,League_4,17,78,True
Region_17,2004,League_1,75,41,False
Region_17,2004,League_2,8,47,True
Region_17,2004,League_3,73,43,True
Region_17,2004,League_4,57,81,True
Region_17,2005,League_1,16,86,True
Region_17,2005,League_2,6,96,False
Region_17,2005,League_3,45,15,False
Region_17,2005,League_4,12,53,True
Region_17,2006,League_1,39,34,False
Region_17,2006,League_2,41,97,True
Region_17,2006,League_3,8,27,True
Region_17,2006,League_4,49,1,True
Region_17,2007,League_1,26,93,True
Region_17,2007,League_2,65,12,False
Region_17,2007,League_3,4,40,False
Region_17,2007,League_4,28,79,True
Region_17,2008,League_1,36,58,True
Region_17,2008,League_2,37,68,False
Region_17,2008,League_3,82,91,False
Region_17,2008,League_4,7,52,True
Region_17,2009,League_1,64,44,False
Region_17,2009,League_2,85,19,True
Region_17,2009,League_3,16,23,False
Region_17,2009,League_4,70,60,False
Region_18,2000,League_1,88,90,False
Region_18,2000,League_2,44,93,False
Region_18,2000,League_3,3,57,True
Region_18,2000,League_4,35,26,True
Region_18,2001,League_1,69,25,False
Region_18,2001,League_2,30,6,True
Region_18,2001,League_3,18,41,False
Region_18,2001,League_4,60,46,False
Region_18,2002,League_1,53,52,True
Region_18,2002,League_2,38,58,True
Region_18,2002,League_3,90,37,True
Region_18,2002,League_4,73,68,False
Region_18,2003,League_1,89,86,True
Region_18,2003,League_2,18,91,True
Region_18,2003,League_3,38,97,True
Region_18,2003,League_4,66,52,True
Region_18,2004,League_1,44,14,False
Region_18,2004,League_2,12,95,False
Region_18,2004,League_3,91,25,False
Region_18,2004,League_4,57,47,False
Region_18,2005,League_1,19,94,False
Region_18,2005,League_2,91,18,False
Region_18,2005,League_3,71,8,False
Region_18,2005,League_4,60,63,True
Region_18,2006,League_1,38,92,False
Region_18,2006,League_2,0,53,False
Region_18,2006,League_3,2,50,False
Region_18,2006,League_4,76,38,False
Region_18,2007,League_1,91,3,True
Region_18,2007,League_2,61,2,False
Region_18,2007,League_3,62,63,False
Region_18,2007,League_4,24,28,True
Region_18,2008,League_1,55,10,False
Region_18,2008,League_2,32,96,False
Region_18,2008,League_3,37,57,False
Region_18,2008,League_4,5,74,False
Region_18,2009,League_1,57,26,False
Region_18,2009,League_2,43,96,False
Region_18,2009,League_3,44,20,False
Region_18,2009,League_4,31,38,True
Region_19,2000,League_1,44,94,True
Region_19,2000,League_2,60,45,False
Region_19,2000,League_3,46,65,True
Region_19,2000,League_4,20,90,False
Region_19,2001,League_1,79,35,True
Region_19,2001,League_2,84,74,False
Region_19,2001,League_3,74,81,True
Region_19,2001,League_4,35,64,False
Region_19,2002,League_1,98,62,True
Region_19,2002,League_2,18,98,True
Region_19,2002,League_3,19,34,False
Region_19,2002,League_4,56,30,False
Region_19,2003,League_1,17,27,True
Region_19,2003,League_2,46,0,True
Region_19,2003,League_3,48,24,False
Region_19,2003,League_4,13,42,True
Region_19,2004,League_1,14,83,False
Region_19,2004,League_2,30,66,True
Region_19,2004,League_3,0,62,True
Region_19,2004,League_4,53,50,False
Region_19,2005,League_1,2,1,False
Region_19,2005,League_2,15,81,False
Region_19,2005,League_3,86,63,True
Region_19,2005,League_4,56,73,True
Region_19,2006,League_1,74,68,True
Region_19,2006,League_2,11,8,False
Region_19,2006,League_3,73,1,True
Region_19,2006,League_4,95,33,True
Region_19,2007,League_1,15,59,False
Region_19,2007,League_2,71,60,True
Region_19,2007,League_3,75,30,True
Region_19,2007,League_4,23,9,False
Region_19,2008,League_1,27,75,False
Region_19,2008,League_2,7,35,False
Region_19,2008,League_3,91,84,False
Region_19,2008,League_4,35,48,False
Region_19,2009,League_1,89,69,False
Region_19,2009,League_2,7,48,False
Region_19,2009,League_3,57,2,False
Region_19,2009,League_4,59,73,False
Region_20,2000,League_1,49,4,True
Region_20,2000,League_2,27,89,False
Region_20,2000,League_3,91,60,False
Region_20,2000,League_4,40,84,True
Region_20,2001,League_1,99,89,False
Region_20,2001,League_2,63,25,True
Region_20,2001,League_3,26,71,True
Region_20,2001,League_4,62,4,False
Region_20,2002,League_1,16,14,True
Region_20,2002,League_2,72,15,False
Region_20,2002,League_3,32,0,False
Region_20,2002,League_4,83,15,True
Region_20,2003,League_1,76,36,True
Region_20,2003,League_2,91,2,True
Region_20,2003,League_3,28,51,False
